detail_statement_id,statement_id,customer_line_id,statement_date,amount_charged,phone_number,last_modified,_change_request_type
1,1,823269-4,2025-11-01,25,+823269,2025-11-01 00:00:00,u
2,2,823269-4,2025-10-01,25,+823269,2025-10-01 00:00:00,u
3,3,823269-4,2025-09-01,25,+823269,2025-09-01 00:00:00,u
4,4,823269-4,2025-08-01,25,+823269,2025-08-01 00:00:00,u
5,5,823269-4,2025-07-01,25,+823269,2025-07-01 00:00:00,u
6,6,823269-4,2025-06-01,25,+823269,2025-06-01 00:00:00,u
7,7,823269-4,2025-05-01,25,+823269,2025-05-01 00:00:00,u
8,8,823269-4,2025-04-01,25,+823269,2025-04-01 00:00:00,u
9,9,823269-4,2025-03-01,25,+823269,2025-03-01 00:00:00,u
10,10,823269-4,2025-02-01,25,+823269,2025-02-01 00:00:00,u
11,11,823269-4,2025-01-01,25,+823269,2025-01-01 00:00:00,u
12,12,823269-4,2024-12-01,25,+823269,2024-12-01 00:00:00,u
13,13,823269-4,2024-11-01,25,+823269,2024-11-01 00:00:00,u
14,14,489460-3,2025-11-01,40,+489460,2025-11-01 00:00:00,u
15,14,548485-13,2025-11-01,40,+548485,2025-11-01 00:00:00,u
16,15,489460-3,2025-10-01,40,+489460,2025-10-01 00:00:00,u
17,15,548485-13,2025-10-01,40,+548485,2025-10-01 00:00:00,u
18,16,489460-3,2025-09-01,40,+489460,2025-09-01 00:00:00,u
19,16,548485-13,2025-09-01,40,+548485,2025-09-01 00:00:00,u
20,17,489460-3,2025-08-01,40,+489460,2025-08-01 00:00:00,u
21,17,548485-13,2025-08-01,40,+548485,2025-08-01 00:00:00,u
22,18,489460-3,2025-07-01,40,+489460,2025-07-01 00:00:00,u
23,18,548485-13,2025-07-01,40,+548485,2025-07-01 00:00:00,u
24,19,489460-3,2025-06-01,40,+489460,2025-06-01 00:00:00,u
25,19,548485-13,2025-06-01,40,+548485,2025-06-01 00:00:00,u
26,20,489460-3,2025-05-01,40,+489460,2025-05-01 00:00:00,u
27,20,548485-13,2025-05-01,40,+548485,2025-05-01 00:00:00,u
28,21,489460-3,2025-04-01,40,+489460,2025-04-01 00:00:00,u
29,21,548485-13,2025-04-01,40,+548485,2025-04-01 00:00:00,u
30,22,489460-3,2025-03-01,40,+489460,2025-03-01 00:00:00,u
31,22,548485-13,2025-03-01,40,+548485,2025-03-01 00:00:00,u
32,23,489460-3,2025-02-01,40,+489460,2025-02-01 00:00:00,u
33,23,548485-13,2025-02-01,40,+548485,2025-02-01 00:00:00,u
34,24,489460-3,2025-01-01,40,+489460,2025-01-01 00:00:00,u
35,24,548485-13,2025-01-01,40,+548485,2025-01-01 00:00:00,u
36,25,489460-3,2024-12-01,40,+489460,2024-12-01 00:00:00,u
37,25,548485-13,2024-12-01,40,+548485,2024-12-01 00:00:00,u
38,26,489460-3,2024-11-01,40,+489460,2024-11-01 00:00:00,u
39,26,548485-13,2024-11-01,40,+548485,2024-11-01 00:00:00,u
40,27,373313-13,2025-11-01,50,+373313,2025-11-01 00:00:00,u
41,27,542526-10,2025-11-01,50,+542526,2025-11-01 00:00:00,u
42,27,548485-5,2025-11-01,50,+548485,2025-11-01 00:00:00,u
43,28,373313-13,2025-10-01,50,+373313,2025-10-01 00:00:00,u
44,28,542526-10,2025-10-01,50,+542526,2025-10-01 00:00:00,u
45,28,548485-5,2025-10-01,50,+548485,2025-10-01 00:00:00,u
46,29,373313-13,2025-09-01,50,+373313,2025-09-01 00:00:00,u
47,29,542526-10,2025-09-01,50,+542526,2025-09-01 00:00:00,u
48,29,548485-5,2025-09-01,50,+548485,2025-09-01 00:00:00,u
49,30,373313-13,2025-08-01,50,+373313,2025-08-01 00:00:00,u
50,30,542526-10,2025-08-01,50,+542526,2025-08-01 00:00:00,u
51,30,548485-5,2025-08-01,50,+548485,2025-08-01 00:00:00,u
52,31,373313-13,2025-07-01,50,+373313,2025-07-01 00:00:00,u
53,31,542526-10,2025-07-01,50,+542526,2025-07-01 00:00:00,u
54,31,548485-5,2025-07-01,50,+548485,2025-07-01 00:00:00,u
55,32,373313-13,2025-06-01,50,+373313,2025-06-01 00:00:00,u
