cus_address_id,customer_id,address_type,is_primary,street_address,city,state,postal_code,last_modified,_change_request_type
1,13495585,shipping,1,1997 Spruce Street,Denver,CO,80223,2024-12-31 19:48:24,u
2,13495585,billing,1,4894 Terrace Avenue,Duluth,GA,30195,2025-03-12 07:42:20,u
3,37938260,shipping,1,7090 Grant Street,South Lake Tahoe,CA,96154,2025-05-04 18:12:26,u
4,37938260,billing,0,14478 Country Club Drive,Maple Plain,MN,55579,2025-10-31 13:11:20,u
5,37938260,shipping,0,8078 Green Street,Tucson,AZ,85748,2025-05-28 19:31:22,u
6,67740571,billing,0,7741 Jackson Street,Ocala,FL,34479,2025-05-20 14:30:37,u
7,67740571,shipping,0,13274 Virginia Street,Fresno,CA,93778,2025-10-02 06:01:56,u
8,67740571,billing,0,8963 Hillside Avenue,Jacksonville,FL,32225,2025-06-19 07:55:09,u
9,36124990,shipping,1,4541 River Road,Louisville,KY,40287,2025-03-03 17:27:02,u
10,36124990,billing,0,10667 Old Town Road,Naples,FL,34108,2025-07-30 19:15:04,u
11,36124990,shipping,0,14971 Sycamore Street,Dayton,OH,45403,2025-11-12 13:21:04,u
12,36124990,billing,1,5755 Vista Drive,El Paso,TX,88579,2025-04-02 06:29:39,u
13,36124990,shipping,0,12784 River Road,Chula Vista,CA,91913,2025-09-20 07:37:34,u
14,28158994,billing,1,3007 Circle Drive,Lexington,KY,40510,2025-01-25 09:53:43,u
15,28158994,billing,0,9400 High Street,Vienna,VA,22184,2025-06-29 23:19:26,u
16,28158994,shipping,1,1143 Arthur Street,Riverside,CA,92519,2024-12-11 00:42:10,u
17,28158994,shipping,0,9546 Atlantic Avenue,Schaumburg,IL,60193,2025-07-03 12:21:52,u
18,45749269,billing,0,11061 Victory Boulevard,Saint Paul,MN,55123,2025-08-09 09:20:50,u
19,45749269,shipping,0,11423 Union Street,Minneapolis,MN,55480,2025-08-18 05:00:05,u
20,45749269,billing,1,6527 Hillside Avenue,Fort Wayne,IN,46896,2025-04-21 01:20:58,u
21,45749269,billing,1,1191 Peachtree Street,Littleton,CO,80126,2024-12-12 04:45:42,u
22,23025956,shipping,0,8408 Meadow Lane,Toledo,OH,43666,2025-06-05 20:00:42,u
23,23025956,shipping,0,11806 Jackson Street,Amarillo,TX,79188,2025-08-27 12:49:31,u
24,23025956,billing,1,1892 Atlantic Avenue,Chicago,IL,60614,2024-12-29 06:26:53,u
25,23025956,shipping,1,5339 Countryside Lane,Cincinnati,OH,45264,2025-03-23 03:35:10,u
26,23025956,billing,0,9184 Sierra Drive,Worcester,MA,01610,2025-06-24 17:07:08,u
27,18927446,shipping,1,2009 Hillside Avenue,Saint Louis,MO,63131,2025-01-01 02:58:55,u
28,18927446,billing,1,4457 California Street,Houston,TX,77075,2025-03-01 16:37:01,u
29,18927446,shipping,1,6526 Lincoln Avenue,Arlington,VA,22234,2025-04-21 01:04:43,u
30,18927446,billing,0,14205 Pine Street,Dayton,OH,45432,2025-10-24 21:30:06,u
31,92445190,shipping,0,14959 El Camino Real,Atlanta,GA,30386,2025-11-12 05:49:19,u
32,92445190,billing,1,1080 Main Avenue,Worcester,MA,01654,2024-12-09 12:18:02,u
33,92445190,shipping,1,3257 Walnut Street,Oakland,CA,94605,2025-01-31 11:24:03,u
34,13714356,billing,0,12730 Pacific Avenue,Fresno,CA,93709,2025-09-18 23:57:07,u
35,13714356,billing,1,1978 Creek Road,Chicago,IL,60681,2024-12-31 08:32:23,u
36,13714356,shipping,0,7974 Pennsylvania Avenue,Columbia,SC,29220,2025-05-26 06:19:19,u
37,13714356,billing,0,12525 Oak Street,Minneapolis,MN,55402,2025-09-14 00:22:55,u
38,32364848,shipping,0,14666 Vine Street,San Francisco,CA,94126,2025-11-05 03:13:03,u
39,32364848,shipping,0,14129 Clay Street,Washington,DC,20540,2025-10-23 01:06:45,u
40,32364848,billing,1,7368 Main Street,Sacramento,CA,95833,2025-05-11 12:45:02,u
41,32364848,shipping,1,6068 Commerce Street,Fort Worth,TX,76121,2025-04-09 21:11:04,u
42,32364848,billing,0,8326 Broadway,Pinellas Park,FL,34665,2025-06-03 20:08:53,u
43,00569524,shipping,0,11406 Union Street,Springfield,IL,62764,2025-08-17 18:47:24,u
44,00569524,billing,1,6709 Franklin Street,Buffalo,NY,14220,2025-04-25 11:39:50,u
45,00569524,shipping,0,14746 Jackson Street,Nashville,TN,37205,2025-11-07 01:39:51,u
46,56119723,billing,1,3783 Creek Road,Stockton,CA,95219,2025-02-13 06:51:01,u
47,56119723,shipping,0,9869 Jackson Street,Norcross,GA,30092,2025-07-11 09:15:51,u
48,56119723,billing,0,14218 Water Street,Young America,MN,55551,2025-10-25 05:23:26,u
49,56119723,shipping,1,3187 Poplar Street,Roanoke,VA,24004,2025-01-29 18:37:47,u
50,56119723,billing,1,4593 Park Avenue,Houston,TX,77250,2025-03-04 23:53:01,u
51,44873563,shipping,1,540 Atlantic Avenue,Washington,DC,20397,2024-11-26 09:03:41,u
52,44873563,billing,1,4081 Henry Street,Evansville,IN,47737,2025-02-20 12:38:17,u
53,08610779,shipping,0,8004 Canyon Road,Stamford,CT,06912,2025-05-27 00:03:37,u
54,08610779,billing,0,14725 Charles Street,Omaha,NE,68134,2025-11-06 13:21:43,u
55,08610779,shipping,0,8793 Lake Drive,Fort Worth,TX,76178,2025-06-15 04:35:07,u
56,08610779,billing,0,9696 Hill Street,Lake Worth,FL,33462,2025-07-07 04:10:36,u
57,91566010,shipping,1,2165 Central Avenue,Cincinnati,OH,45203,2025-01-04 21:53:16,u
58,91566010,billing,0,13023 Harrison Street,Cincinnati,OH,45213,2025-09-26 03:13:45,u
59,13409372,shipping,0,13666 Sunset Drive,Moreno Valley,CA,92555,2025-10-11 18:53:19,u
60,13409372,billing,1,3709 Maple Avenue,Roanoke,VA,24014,2025-02-11 11:41:50,u
61,13409372,shipping,0,11771 Grant Street,Visalia,CA,93291,2025-08-26 16:05:38,u
62,13409372,billing,1,7416 Farm Road,Portland,OR,97232,2025-05-12 16:52:34,u
63,82123711,shipping,1,7422 Hill Street,Albuquerque,NM,87180,2025-05-12 20:00:53,u
64,82123711,billing,0,9573 Mill Street,Missoula,MT,59806,2025-07-04 04:08:31,u
65,82123711,shipping,0,14391 Court Street,Lakeland,FL,33805,2025-10-29 10:28:59,u
66,82123711,billing,1,3053 Alameda Avenue,Glendale,CA,91205,2025-01-26 12:19:54,u
67,05604353,shipping,1,7137 Jackson Street,Oakland,CA,94660,2025-05-05 21:54:16,u
68,05604353,billing,1,6653 Kennedy Drive,Memphis,TN,38197,2025-04-24 03:04:44,u
69,05604353,billing,0,8328 Buchanan Street,Austin,TX,78715,2025-06-03 21:30:12,u
70,05604353,shipping,1,2566 Hillside Avenue,Milwaukee,WI,53263,2025-01-14 16:14:14,u
71,05604353,shipping,0,13523 Fairview Avenue,Dearborn,MI,48126,2025-10-08 07:38:05,u
72,75880089,billing,1,1298 Polk Street,Akron,OH,44393,2024-12-14 19:15:52,u
73,75880089,shipping,1,2692 Mill Street,Decatur,IL,62525,2025-01-17 17:50:36,u
74,75880089,billing,1,4876 West Street,Minneapolis,MN,55487,2025-03-11 21:16:03,u
75,54590181,shipping,0,10877 Mill Road,Houston,TX,77201,2025-08-04 22:00:52,u
76,54590181,billing,1,2316 Martin Luther King Jr. Boulevard,Gary,IN,46406,2025-01-08 13:49:05,u
77,11851333,billing,1,6591 South Street,Orange,CA,92668,2025-04-22 14:32:21,u
78,11851333,shipping,1,4701 State Street,Washington,DC,20260,2025-03-07 15:08:07,u
79,11851333,shipping,0,8968 Clay Street,San Jose,CA,95155,2025-06-19 10:57:25,u
80,11851333,billing,0,10052 Roosevelt Avenue,Grand Rapids,MI,49505,2025-07-15 20:01:53,u
81,07068709,billing,1,5578 Birch Street,Los Angeles,CA,90071,2025-03-28 23:11:38,u
82,07068709,shipping,1,3792 Highland Avenue,Rochester,NY,14624,2025-02-13 12:03:04,u
83,07068709,billing,1,4800 Peachtree Street,Charleston,WV,25321,2025-03-10 00:31:37,u
84,07068709,shipping,0,9992 First Street,Houston,TX,77085,2025-07-14 08:55:44,u
85,07068709,shipping,1,6784 Country Club Drive,Birmingham,AL,35231,2025-04-27 07:41:09,u
