customer_line_id,customer_id,email,product_id,primary_line_indicator,active_indicator,mobile_phone,sms_optin,email_optin,last_modified,_change_request_type
908691-4,00569524,fara.hurdman@emailsim.io,4,1,1,+908691,0,0,2025-09-14 00:22:55,u
902635-7,00569524,yale.plumridge@emailsim.io,7,0,1,+902635,0,0,2025-11-05 03:13:03,u
656504-12,04561737,erik.carous@emailsim.io,12,1,1,+656504,1,1,2025-03-11 21:16:03,u
370202-5,05604353,kakalina.stollberger@emailsim.io,5,1,1,+370202,0,0,2025-10-11 18:53:19,u
337258-6,05604353,denver.buxsy@emailsim.io,6,0,1,+337258,1,1,2025-02-11 11:41:50,u
370330-14,05604353,maren.sirr@emailsim.io,14,0,1,+370330,0,0,2025-08-26 16:05:38,u
370057-1,05604353,tania.harsant@emailsim.io,1,0,0,+370057,1,1,2025-05-12 16:52:34,u
822158-4,05623518,fowler.seaborne@emailsim.io,4,1,1,+822158,1,1,2024-12-13 09:08:51,u
825730-7,05623518,jori.maccosty@emailsim.io,7,0,1,+825730,0,0,2025-06-27 15:00:05,u
761657-9,05623518,ingamar.buckam@emailsim.io,9,0,1,+761657,0,0,2025-09-24 11:47:00,u
346923-2,05623518,kare.kaas@emailsim.io,2,0,1,+346923,0,0,2025-07-28 05:49:07,u
824429-5,05623518,kelbee.lerer@emailsim.io,5,0,1,+824429,1,1,2024-12-01 01:05:55,u
917867-3,06076531,sayres.hutchens@emailsim.io,3,1,1,+917867,0,0,2025-10-16 07:28:26,u
120749-10,07068709,loutitia.cornish@emailsim.io,10,1,1,+120749,1,1,2025-01-14 16:14:14,u
335979-7,07068709,geoffrey.garaghan@emailsim.io,7,0,0,+335979,0,0,2025-10-08 07:38:05,u
351596-8,07068709,ingmar.marie@emailsim.io,8,0,1,+351596,1,1,2024-12-14 19:15:52,u
406967-3,07068709,kayley.mclice@emailsim.io,3,0,1,+406967,1,1,2025-01-17 17:50:36,u
647919-11,07265684,sarah.ocrigan@emailsim.io,11,1,1,+647919,0,0,2025-10-05 09:43:55,u
397710-1,07265684,esta.tredinnick@emailsim.io,1,0,0,+397710,1,1,2024-11-13 12:05:18,u
828646-2,07957145,wainwright.colecrough@emailsim.io,2,1,1,+828646,1,1,2025-02-22 13:20:12,u
903917-6,07957145,tony.benedicto@emailsim.io,6,0,1,+903917,1,1,2025-03-13 21:57:40,u
496945-11,07957145,blake.axford@emailsim.io,11,0,1,+496945,0,0,2025-08-22 12:15:28,u
372154-13,07957145,sax.fiorentino@emailsim.io,13,0,1,+372154,1,1,2025-01-10 16:15:41,u
825765-12,07957145,lee.swyne@emailsim.io,12,0,1,+825765,1,1,2024-12-22 23:34:03,u
446767-7,08610779,korey.aiston@emailsim.io,7,1,1,+446767,1,1,2025-02-13 06:51:01,u
513383-10,08610779,tiffani.androlli@emailsim.io,10,0,1,+513383,0,0,2025-07-11 09:15:51,u
598007-9,08610779,jerry.pancost@emailsim.io,9,0,1,+598007,0,0,2025-10-25 05:23:26,u
647919-1,08610779,sarah.ocrigan@emailsim.io,1,0,0,+647919,1,1,2025-01-29 18:37:47,u
918309-3,09122357,corabella.bernardy@emailsim.io,3,1,1,+918309,1,1,2025-01-18 01:02:36,u
166034-10,09122357,pat.gritton@emailsim.io,10,0,1,+166034,0,0,2025-11-08 08:07:52,u
407804-2,09122357,viviene.judkin@emailsim.io,2,0,1,+407804,0,0,2025-08-12 17:16:03,u
489993-11,09122357,alexis.anshell@emailsim.io,11,0,1,+489993,1,1,2025-02-13 20:48:21,u
407033-5,09122357,adan.supple@emailsim.io,5,0,1,+407033,1,1,2025-04-05 09:40:10,u
774361-3,09172006,sancho.zipsell@emailsim.io,3,1,1,+774361,0,0,2025-06-10 11:19:45,u
918524-7,09172006,ash.sandry@emailsim.io,7,0,1,+918524,1,1,2025-04-09 01:58:03,u
651266-12,10745717,doralin.latour@emailsim.io,12,1,1,+651266,0,0,2025-05-31 05:24:53,u
828346-1,11730761,ruby.lille@emailsim.io,1,1,1,+828346,0,0,2025-05-17 03:39:05,u
491192-9,11805239,arny.cleworth@emailsim.io,9,1,1,+491192,1,1,2024-11-28 21:22:33,u
492144-8,11805239,kenna.quenell@emailsim.io,8,0,1,+492144,0,0,2025-08-13 08:45:03,u
131591-5,11805239,skylar.larderot@emailsim.io,5,0,0,+131591,1,1,2025-02-07 07:26:50,u
910709-5,11851333,pail.belding@emailsim.io,5,1,1,+910709,1,1,2025-05-05 21:54:16,u
485570-13,11851333,carey.weekly@emailsim.io,13,0,1,+485570,1,1,2025-04-24 03:04:44,u
495389-12,11851333,clim.borit@emailsim.io,12,0,1,+495389,0,0,2025-06-03 21:30:12,u
420851-8,11888835,caroline.borris@emailsim.io,8,1,1,+420851,0,0,2025-07-11 07:39:38,u
484274-7,11888835,damiano.zumbusch@emailsim.io,7,0,1,+484274,0,0,2025-08-07 04:54:17,u
490122-3,11888835,jillana.enticott@emailsim.io,3,0,1,+490122,1,1,2025-02-24 14:29:25,u
402884-14,11888835,beverlee.brazear@emailsim.io,14,0,1,+402884,0,0,2025-09-24 21:14:23,u
482560-13,13098314,kiele.pohling@emailsim.io,13,1,1,+482560,0,0,2025-11-03 06:00:17,u
543337-8,13098314,ediva.coultas@emailsim.io,8,0,1,+543337,0,0,2025-08-11 02:07:54,u
330151-1,13098314,daile.dinning@emailsim.io,1,0,1,+330151,1,1,2025-04-19 17:48:52,u
182819-3,13409372,tory.leonida@emailsim.io,3,1,1,+182819,1,1,2024-11-26 09:03:41,u
774361-10,13409372,sancho.zipsell@emailsim.io,10,0,1,+774361,1,1,2025-02-20 12:38:17,u
901621-14,13409372,lexie.silverman@emailsim.io,14,0,1,+901621,0,0,2025-05-27 00:03:37,u
351225-8,13409372,lucila.casino@emailsim.io,8,0,0,+351225,0,0,2025-11-06 13:21:43,u
823269-4,13495585,minor.goodred@emailsim.io,4,1,1,+823269,1,1,2024-12-31 19:48:24,u
901621-11,13667412,lexie.silverman@emailsim.io,11,1,1,+901621,0,0,2025-05-17 04:22:12,u
389152-14,13667412,charmine.skase@emailsim.io,14,0,1,+389152,0,0,2025-10-14 11:38:10,u
513458-5,13667412,brennan.farrer@emailsim.io,5,0,1,+513458,1,1,2024-11-28 09:13:58,u
786319-5,13714356,sigrid.kittless@emailsim.io,5,1,1,+786319,1,1,2025-03-01 16:37:01,u
813595-13,13714356,glyn.skiplorne@emailsim.io,13,0,0,+813595,1,1,2025-04-21 01:04:43,u
213699-12,13714356,bernelle.fumagall@emailsim.io,12,0,1,+213699,0,0,2025-10-24 21:30:06,u
120617-8,13714356,kaitlyn.bhatia@emailsim.io,8,0,1,+120617,0,0,2025-11-12 05:49:19,u
421830-4,15052369,basilius.herety@emailsim.io,4,1,1,+421830,1,1,2025-03-19 20:25:33,u
915214-10,15052369,inesita.seymer@emailsim.io,10,0,1,+915214,0,0,2025-05-18 15:06:41,u
448197-9,15052369,pearce.fardy@emailsim.io,9,0,1,+448197,0,0,2025-07-22 03:52:56,u
437212-3,15052369,terri.scuse@emailsim.io,3,0,0,+437212,1,1,2025-04-04 15:48:26,u
481492-13,15052369,feodora.sapshed@emailsim.io,13,0,1,+481492,1,1,2024-12-01 12:30:46,u
971346-3,18927446,jervis.bradane@emailsim.io,3,1,1,+971346,0,0,2025-08-27 12:49:31,u
656504-6,18927446,erik.carous@emailsim.io,6,0,1,+656504,1,1,2024-12-29 06:26:53,u
513678-10,18927446,bald.chuck@emailsim.io,10,0,1,+513678,1,1,2025-03-23 03:35:10,u
915683-5,19749592,bobbie.kemmish@emailsim.io,5,1,1,+915683,0,0,2025-06-22 11:31:40,u
828346-10,19749592,ruby.lille@emailsim.io,10,0,1,+828346,1,1,2025-01-24 20:07:05,u
120617-10,21528794,kaitlyn.bhatia@emailsim.io,10,1,1,+120617,0,0,2025-06-25 17:04:27,u
593090-9,21528794,gordy.glowacki@emailsim.io,9,0,1,+593090,0,0,2025-10-30 05:25:13,u
780202-1,21528794,genia.mattiuzzi@emailsim.io,1,0,1,+780202,0,0,2025-06-20 02:51:10,u
372654-7,21528794,max.filippone@emailsim.io,7,0,1,+372654,1,1,2025-02-22 09:31:08,u
912143-8,21528794,joey.leehane@emailsim.io,8,0,0,+912143,1,1,2025-05-10 23:49:53,u
813595-2,21657939,glyn.skiplorne@emailsim.io,2,1,1,+813595,0,0,2025-07-14 08:55:44,u
482560-3,21657939,kiele.pohling@emailsim.io,3,0,1,+482560,1,1,2025-04-27 07:41:09,u
380294-10,21657939,jessie.mcleod@emailsim.io,10,0,1,+380294,0,0,2025-09-13 04:58:02,u
598007-4,21973354,jerry.pancost@emailsim.io,4,1,1,+598007,0,0,2025-05-23 06:58:07,u
404476-12,21973354,frederick.worwood@emailsim.io,12,0,1,+404476,1,1,2025-03-15 15:05:19,u
198626-2,21973354,winni.leeuwerink@emailsim.io,2,0,1,+198626,0,0,2025-08-07 14:45:25,u
479664-11,21973354,tiertza.jackways@emailsim.io,11,0,1,+479664,0,0,2025-05-18 08:56:05,u
742969-14,21973354,verge.rainforth@emailsim.io,14,0,0,+742969,0,0,2025-09-25 15:26:50,u
915764-3,22476301,lek.carrigan@emailsim.io,3,1,1,+915764,1,1,2025-04-04 07:48:34,u
299033-13,22476301,galvan.walshe@emailsim.io,13,0,1,+299033,0,0,2025-11-02 05:42:35,u
523303-2,22476301,emmy.attiwill@emailsim.io,2,0,1,+523303,1,1,2025-04-24 18:44:32,u
370314-14,22476301,lucita.kisting@emailsim.io,14,0,0,+370314,1,1,2024-12-31 12:06:12,u
918328-3,23025956,tabina.buick@emailsim.io,3,1,1,+918328,0,0,2025-08-09 09:20:50,u
370202-5,23025956,kakalina.stollberger@emailsim.io,5,0,1,+370202,0,0,2025-08-18 05:00:05,u
445347-10,23025956,georges.sabates@emailsim.io,10,0,0,+445347,1,1,2025-04-21 01:20:58,u
380208-12,23025956,adan.fortin@emailsim.io,12,0,1,+380208,1,1,2024-12-12 04:45:42,u
910709-9,23025956,pail.belding@emailsim.io,9,0,1,+910709,0,0,2025-06-05 20:00:42,u
489208-12,23171531,isobel.mckennan@emailsim.io,12,1,1,+489208,0,0,2025-05-20 21:03:01,u
912143-12,23728077,joey.leehane@emailsim.io,12,1,1,+912143,1,1,2025-02-17 05:15:21,u
339509-10,23728077,berri.agnew@emailsim.io,10,0,1,+339509,1,1,2025-03-14 14:08:35,u
521497-2,23728077,yves.furlow@emailsim.io,2,0,0,+521497,0,0,2025-06-29 09:53:14,u
515816-6,24158844,roana.matokhnin@emailsim.io,6,1,1,+515816,0,0,2025-07-09 03:11:10,u
528385-9,24158844,cate.skellern@emailsim.io,9,0,1,+528385,1,1,2025-04-22 17:04:19,u
