order_id,customer_id,order_date,order_status,last_order_status_update,payment_type,payment_currency_code,payment_transaction_id,email,shipping_method,shipping_destination,shipping_street_address,shipping_city,shipping_state,shipping_zip,billing_street_address,billing_city,billing_state,billing_zip,store_id,plan_id,store_address,store_city,store_state,store_zip,last_modified,_change_request_type,order_total,payment_amount
1,13495585,2025-07-15 22:35:20,shipped,2025-07-16 05:35:20,credit,USD,1,lorry.severn@emailsim.io,standard,home,1997 Spruce Street,Denver,CO,80223,1997 Spruce Street,Denver,CO,80223,5,,7 Tennyson Park,Houston,TX,77206,2025-07-16 05:35:20,u,1799.98,1799.98
2,13495585,2025-08-19 16:57:01,ready for pickup,2025-08-20 08:57:01,debit,USD,2,korey.aiston@emailsim.io,expedited,store,6 Twin Pines Circle,Arlington,GA,22234,4894 Terrace Avenue,Duluth,GA,30195,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-08-20 08:57:01,u,5599.94,5599.94
3,37938260,2025-09-15 01:25:01,delivered,2025-09-16 00:25:01,credit,USD,3,erik.carous@emailsim.io,overnight,home,7090 Grant Street,South Lake Tahoe,CA,96154,7090 Grant Street,South Lake Tahoe,CA,96154,2,,475 Center Place,Atlanta,GA,30301,2025-09-16 00:25:01,u,4799.94,4799.94
4,37938260,2025-12-12 17:21:11,placed,2025-12-12 17:21:11,credit,USD,4,becca.pietruszewicz@emailsim.io,standard,store,7 Tennyson Park,Houston,MN,77206,14478 Country Club Drive,Maple Plain,MN,55579,5,,7 Tennyson Park,Houston,TX,77206,2025-12-12 17:21:11,u,15699.87,15699.87
5,67740571,2025-09-26 22:07:13,picked up,2025-09-28 20:07:13,credit,USD,5,georges.sabates@emailsim.io,,,8078 Green Street,Tucson,AZ,85748,8078 Green Street,Tucson,AZ,85748,4,,35901 Anniversary Parkway,Tulsa,OK,74116,2025-09-28 20:07:13,u,5099.94,5099.94
6,67740571,2025-09-22 20:57:49,cancelled,2025-09-23 22:57:49,credit,USD,6,lou.erricker@emailsim.io,overnight,store,475 Center Place,Atlanta,FL,30301,7741 Jackson Street,Ocala,FL,34479,2,,475 Center Place,Atlanta,GA,30301,2025-09-23 22:57:49,u,8599.92,8599.92
7,67740571,2025-11-28 06:35:27,cancelled,2025-11-29 07:35:27,credit,USD,7,max.filippone@emailsim.io,overnight,home,13274 Virginia Street,Fresno,CA,93778,13274 Virginia Street,Fresno,CA,93778,5,,7 Tennyson Park,Houston,TX,77206,2025-11-29 07:35:27,u,3799.95,3799.95
8,36124990,2025-10-07 12:46:54,delivered,2025-10-09 06:46:54,credit,USD,8,marybelle.delafoy@emailsim.io,standard,store,6 Twin Pines Circle,Arlington,FL,22234,8963 Hillside Avenue,Jacksonville,FL,32225,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-10-09 06:46:54,u,5699.93,5699.93
9,36124990,2025-08-15 11:14:07,shipped,2025-08-16 16:14:07,cash,USD,9,ruby.lille@emailsim.io,expedited,home,4541 River Road,Louisville,KY,40287,4541 River Road,Louisville,KY,40287,4,,35901 Anniversary Parkway,Tulsa,OK,74116,2025-08-16 16:14:07,u,2599.97,2599.97
10,36124990,2025-10-27 23:37:49,picked up,2025-10-28 14:37:49,credit,USD,10,bald.chuck@emailsim.io,,,10667 Old Town Road,Naples,FL,34108,10667 Old Town Road,Naples,FL,34108,2,,475 Center Place,Atlanta,GA,30301,2025-10-28 14:37:49,u,7499.93,7499.93
11,36124990,2025-12-18 15:27:37,placed,2025-12-18 15:27:37,credit,USD,11,kirbee.size@emailsim.io,expedited,home,14971 Sycamore Street,Dayton,OH,45403,14971 Sycamore Street,Dayton,OH,45403,5,,7 Tennyson Park,Houston,TX,77206,2025-12-18 15:27:37,u,15399.86,15399.86
12,36124990,2025-08-30 00:54:02,ready for pickup,2025-08-31 10:54:02,credit,USD,12,max.filippone@emailsim.io,overnight,store,29 Milwaukee Place,Albany,TX,12227,5755 Vista Drive,El Paso,TX,88579,1,,29 Milwaukee Place,Albany,NY,12227,2025-08-31 10:54:02,u,9599.91,9599.91
13,28158994,2025-11-22 09:20:58,picked up,2025-11-24 08:20:58,credit,USD,13,tory.leonida@emailsim.io,,,12784 River Road,Chula Vista,CA,91913,12784 River Road,Chula Vista,CA,91913,2,,475 Center Place,Atlanta,GA,30301,2025-11-24 08:20:58,u,6399.93,6399.93
